"plot_ID","LAT","LON"
"39_87_12770",38.732758,-82.541869
"29_207_294",36.94,-89.84
"54_7_2",38.66677,-80.52759
"54_7_30",39.08342,-80.63871
"54_7_41",38.83343,-80.55537
"54_7_48",38.83343,-80.58315
"54_7_61",38.80565,-80.58315
"54_7_62",38.80565,-80.55537
"54_7_69",38.63899,-80.55537
"54_7_70",38.63899,-80.55537
"54_7_71",38.63899,-80.58315
"29_207_234",36.94,-90.13
"29_207_235",36.94,-90.13
"29_207_236",36.99,-90.16
"29_207_245",37.02,-90.12
"29_186_9001",37.72,-90.11
"29_186_9002",37.73,-90.2
"29_186_9003",37.72,-90.12
"39_111_212",39.680757,-81.047422
"54_37_2",39.22232,-77.77749
"39_127_592",39.562939,-82.097377
"54_41_70",38.97232,-80.41648
"54_41_9001",38.945846,-80.51449
"54_27_9601",39.314071,-78.659428
"54_31_56",38.97233,-78.86086
"54_31_61",38.94455,-78.77752
"54_71_67",38.67234,-79.13865
"54_71_78",38.55568,-79.24976
"54_71_90",38.41679,-79.3331
"54_71_92",38.66678,-79.13865
"54_71_94",38.75011,-79.08309
"54_71_114",38.66678,-79.11087
"54_71_120",38.63901,-79.16643
"54_71_121",38.61123,-79.13865
"54_71_123",38.55568,-79.16643
"54_71_146",38.44457,-79.27754
"54_71_1017",38.91678,-79.38866
"54_71_1022",38.83345,-79.27754
"54_71_1023",38.83345,-79.30532
"54_71_1024",38.83344,-79.47199
"54_71_1028",38.80567,-79.30532
"54_71_1043",38.75011,-79.52755
"54_71_1049",38.69456,-79.38866
"54_71_1050",38.69456,-79.52755
"54_71_1061",38.639,-79.61089
"54_71_1067",38.66678,-79.13865
"54_71_1074",38.58345,-79.55533
"54_71_1102",38.83345,-79.3331
"54_71_1137",38.66678,-79.38866
"54_71_1147",38.72234,-79.55533
"54_71_1148",38.639,-79.61089
"54_71_1149",38.94455,-79.3331
"54_71_1150",38.86122,-79.47199
"54_71_1151",38.77789,-79.47199
"54_71_1152",38.77789,-79.49977
"54_71_9001",38.684692,-79.353564
"54_71_9002",38.684692,-79.353564
"54_71_9601",38.684692,-79.353564
"54_71_9602",38.684692,-79.353564
"54_31_99",38.889,-78.8053
"54_31_101",38.97233,-78.74974
"54_31_9601",38.999518,-78.821227
"54_31_66",38.97233,-78.58307
"54_31_67",39.02789,-78.55529
"54_23_1096",39.00011,-79.30532
"54_23_1095",39.05566,-79.27754
"54_23_1097",38.91678,-79.27754
"54_23_1098",38.94455,-79.27754
"54_23_9001",39.070753,-79.233537
"54_57_9001",39.443055,-78.864337
"29_27_9001",38.73,-92.17
"29_27_9002",38.83,-92.13
"29_27_9014",38.71,-92.18
"29_27_9076",38.89,-91.9
"29_151_147",38.65,-91.88
"54_23_9601",39.070753,-79.233537
"54_27_61",39.11122,-78.55529
"54_41_19",38.97232,-80.44426
"54_67_1070",38.25011,-80.52759
"54_67_1088",38.25011,-80.49981
"54_67_1139",38.30567,-80.52759
"54_67_1140",38.25011,-80.58314
"54_67_1141",38.25011,-80.49981
"54_67_9041",38.318358,-80.834153
"54_67_9601",38.318358,-80.834153
"54_81_87",37.80567,-81.05537
"54_81_120",37.83344,-81.49983
"54_81_9001",37.749347,-81.224434
"54_89_41",37.5279,-80.86092
"54_89_9001",37.648541,-80.877396
"54_75_1002",38.08346,-80.05534
"54_75_1013",38.44456,-80.13868
"54_75_1015",38.41678,-80.13868
"54_75_1017",38.33345,-80.27758
"54_75_1021",38.36123,-80.05534
"54_75_1035",38.30567,-80.13868
"54_75_1036",38.30568,-79.80533
"54_75_1040",38.30567,-80.30535
"54_75_1047",38.80566,-79.91646
"54_75_1048",38.2779,-79.86089
"54_75_1055",38.25012,-80.02756
"54_75_1056",38.25012,-79.972
"54_75_1061",38.27789,-80.27757
"54_75_1069",38.47234,-79.97201
"54_75_1071",38.22234,-80.19424
"54_75_1073",38.19457,-79.88867
"54_75_1075",38.639,-79.722
"54_75_1076",38.639,-79.77756
"54_75_1079",38.25012,-80.36091
"54_75_1080",38.16679,-80.1109
"54_75_1081",38.25012,-80.27757
"54_75_1085",38.19456,-80.05534
"54_75_1092",39.50009,-79.77756
"54_75_1094",38.19456,-80.36091
"54_75_1096",38.11123,-79.972
"54_75_1104",38.25012,-79.99978
"54_75_1105",38.08346,-80.02756
"54_75_1110",38.16679,-80.27757
"54_75_1111",38.44456,-79.77756
"54_75_1119",38.5279,-79.69422
"54_75_1120",38.41678,-80.16646
"54_75_1125",38.44456,-79.722
"54_75_1126",38.44456,-79.77756
"54_75_1127",38.44456,-79.86089
"54_75_1133",38.41679,-79.722
"54_75_1134",38.41862,-79.77756
"54_75_1135",38.41679,-79.88867
"54_75_1145",38.639,-79.80534
"54_75_1169",38.58345,-79.722
"54_75_1170",38.16678,-80.30535
"54_75_1171",38.19456,-80.33313
"54_75_1172",38.13901,-80.36091
"54_75_1173",38.41678,-80.16646
"54_75_1174",38.19456,-80.24979
"54_75_1175",38.22234,-80.05534
"54_75_1176",38.16679,-80.08312
"54_75_1177",38.11123,-80.02756
"54_75_1178",38.11123,-80.05534
"54_75_1179",38.05568,-80.05534
"54_75_1180",38.22234,-79.88867
"54_75_1181",38.52789,-79.77756
"54_75_1182",38.47234,-79.86089
"54_75_1183",38.30568,-79.80533
"54_75_1184",38.2779,-79.83311
"54_75_1185",38.2779,-79.80533
"54_75_1186",38.25012,-79.86089
"54_75_9041",38.387916,-79.990541
"54_75_1187",38.61123,-79.722
"54_75_1188",38.50012,-79.722
"54_75_1189",38.30567,-80.27757
"54_75_1900",38.30567,-80.27757
"54_19_9001",38.041293,-81.064784
"54_25_1014",38.00012,-79.99978
"54_25_1021",37.91679,-80.05534
"54_25_1024",37.88901,-80.05534
"54_25_1031",37.97234,-80.16646
"54_25_1032",37.91679,-80.08312
"54_25_1034",37.97235,-80.02756
"54_25_1037",37.91679,-80.08312
"54_25_1041",37.91679,-80.1109
"54_25_1046",37.94457,-80.24979
"54_25_1051",37.91679,-80.08312
"54_25_1053",37.91679,-80.1109
"54_25_1058",37.91679,-80.27757
"54_25_1059",37.91679,-80.30535
"54_25_1061",37.91679,-80.22201
"54_25_1063",37.88901,-80.16646
"54_25_1067",37.88901,-80.24979
"54_25_1070",37.83346,-80.19423
"54_25_1095",38.19456,-80.41647
"54_25_1197",37.97234,-80.24979
"54_77_1145",39.22233,-79.55534
"54_77_9601",39.458075,-79.688159
"54_75_1113",38.55567,-79.69422
"54_83_1002",38.86122,-79.63867
"54_83_1005",38.83344,-79.69423
"54_83_1006",38.83344,-79.63867
"54_83_1012",38.80567,-79.63867
"54_83_1013",38.80567,-79.69423
"54_83_1014",38.80567,-79.77756
"54_83_1018",38.77789,-79.69422
"54_83_1022",38.77789,-79.63867
"54_83_1031",38.75011,-79.69422
"54_83_1032",38.75011,-79.722
"54_83_1033",38.72233,-79.74978
"54_83_1034",38.72233,-79.77756
"54_83_1035",38.75011,-79.88868
"54_83_1044",38.75011,-79.55533
"54_83_1066",38.66678,-79.94423
"54_83_1076",38.97233,-79.69423
"54_83_1077",38.639,-79.8609
"54_83_1078",38.97233,-79.61089
"54_83_1079",38.639,-79.97201
"54_83_1085",38.94455,-79.69423
"54_83_1086",38.91678,-79.55533
"54_83_1087",38.91678,-79.61089
"54_83_1088",38.94455,-79.72201
"54_83_1089",38.94455,-79.63867
"54_83_1098",38.889,-79.77756
"54_83_1109",38.58345,-79.97201
"54_83_1175",38.66678,-79.61089
"54_83_1236",38.47233,-80.22202
"54_83_1237",38.77789,-79.52755
"54_83_1238",38.97233,-79.63867
"54_83_1239",38.639,-79.88868
"54_83_1240",39.50009,-79.83312
"54_83_9041",38.75328,-79.814713
"54_83_9601",38.75328,-79.814713
"54_91_8",39.2501,-79.9998
"54_83_1058",38.66678,-79.722
"54_91_23",39.27787,-80.02758
"54_83_1048",38.80566,-79.88868
"54_83_1055",38.69456,-79.61089
"54_83_1061",39.00011,-79.77757
"54_83_1063",38.66678,-79.8609
"54_83_1064",38.66678,-79.88868
"54_93_1003",38.97233,-79.36088
"54_93_1009",39.13899,-79.72201
"54_93_1013",39.13899,-79.74979
"54_93_1018",39.08344,-79.44422
"54_93_1019",39.08344,-79.472
"54_93_1024",39.08344,-79.72201
"54_93_1026",39.08344,-79.49978
"54_93_1029",39.05566,-79.72201
"54_93_1039",39.05566,-79.69423
"54_93_1043",39.02789,-79.52755
"54_93_1050",39.00011,-79.63867
"54_93_1056",39.02789,-79.63867
"54_93_1083",39.00011,-79.3331
"54_93_1084",39.19455,-79.63867
"54_93_1085",39.05566,-79.72201
"54_93_1086",39.02789,-79.66645
"54_93_1087",39.19455,-79.55533
"54_93_1088",39.08344,-79.61089
"54_93_1089",39.02789,-79.58311
"54_93_1090",39.00011,-79.58311
"54_93_9041",39.11783,-79.565479
"54_93_9601",39.11783,-79.565479
"54_101_1003",38.389,-80.44425
"54_101_1012",38.36122,-80.30535
"54_101_1013",38.36122,-80.38869
"54_101_1025",38.33345,-80.44425
"54_101_1027",38.33345,-80.41647
"54_101_1031",38.33344,-80.49981
"54_101_1033",38.33345,-80.44425
"54_101_1036",38.30567,-80.44425
"54_101_1045",38.30567,-80.41647
"54_101_1057",38.27789,-80.47203
"54_101_1062",38.27789,-80.44425
"54_101_1064",38.27789,-80.41647
"54_101_1071",38.25012,-80.38869
"54_101_1074",38.25012,-80.38869
"54_101_1085",38.22234,-80.41647
"54_101_9601",38.482539,-80.431111
"54_59_68",37.61122,-81.83317
"54_59_69",37.61122,-81.80539
"54_63_44",37.44457,-80.44422
"54_63_52",37.50013,-80.38867
"54_101_1087",38.22234,-80.38869
"54_101_9001",38.482539,-80.431111
"54_63_9001",37.552029,-80.539672
"54_63_9002",37.552029,-80.539672
"54_63_9021",37.552029,-80.539672
"54_63_9601",37.552029,-80.539672
"54_63_9602",37.552029,-80.539672
"37_175_7",35.279791,-82.77521
"37_99_32",35.280239,-82.952939
"37_175_19",35.243022,-82.916424
"37_75_10",35.361429,-83.994082
"37_39_3",35.225639,-83.909055
"37_87_18",35.578052,-83.124815
"37_173_90",35.502044,-83.866439
"37_87_87",35.694078,-83.15084
"37_111_63",35.697934,-82.273336
"54_75_1981",38.34592,-80.24368
"54_75_2006",38.64904,-79.7714
"54_75_2017",38.52138,-79.68158
"54_75_2023",38.31295,-80.14655
"54_75_2024",38.58869,-79.73406
"54_75_2059",38.21389,-80.21121
"54_75_2161",38.24153,-80.16981
"54_75_2164",38.2206,-80.34629
"54_75_2169",38.42355,-80.14744
"54_75_2235",38.25852,-80.22563
"54_75_2249",38.50065,-79.84954
"54_75_2250",38.18394,-80.27288
"54_75_2295",38.2858,-79.85727
"54_75_2323",38.43984,-79.9337
"54_75_2351",38.31261,-80.2798
"54_75_2512",38.45226,-79.8493
"54_75_2477",38.14914,-80.30277
"54_75_2491",38.25016,-80.32324
"54_75_2500",38.59262,-79.74647
"23_5_50",43.85917,-69.93176
"54_83_570",38.76429,-79.8389
"54_83_687",38.78366,-79.78974
"54_83_693",38.79009,-79.6831
"54_83_806",38.64998,-79.8952
"54_83_854",38.5925,-79.85693
"54_83_992",38.68424,-79.72084
"54_83_1083",38.94496,-79.6895
"54_83_1109",38.61559,-79.84845
"54_83_1402",38.82287,-79.63849
