"","plot_ID","LAT","LON"
"1998","51_139_8",38.549012,-78.429759
"1999","51_171_31",38.873824,-78.447656
"2000","51_5_24",37.799107,-79.662891
"2001","51_91_27",38.367667,-79.381222
"2002","51_15_94",38.233265,-79.300081
"2003","51_165_83",38.612165,-78.922238
"2004","51_171_23",38.927676,-78.335184
"2005","51_139_18",38.668581,-78.565893
"2006","51_169_22",36.865097,-82.450752
"2007","51_15_17",38.323148,-79.229134
"2008","51_171_14",38.910797,-78.616364
"2009","51_171_9",38.736281,-78.569824
"2010","51_35_37",36.803809,-80.988943
"2011","51_23_53",37.752225,-79.844385
"2012","51_23_42",37.664446,-79.912802
"2013","51_5_29",37.811918,-79.910238
"2014","51_197_43",36.825056,-81.065547
"2015","51_173_19",36.710389,-81.622263
"2016","51_139_23",38.695608,-78.381998
"2017","51_171_21",38.812077,-78.809378
"2018","51_171_34",38.909096,-78.643725
"2019","51_171_37",38.931196,-78.608223
"2020","51_171_15",39.047452,-78.535663
"2021","51_171_3",38.910175,-78.366822
"2022","51_173_33",36.751257,-81.400287
"2023","51_173_69",36.664443,-81.552919
"2024","13_311_3",34.754068,-83.678815
"2025","13_291_34",34.775131,-83.848069
"2026","13_187_58",34.595424,-84.172034
"2027","13_241_143",34.94355,-83.573854
"2028","13_281_54",34.851168,-83.743551
"2029","13_291_130",34.753436,-84.079887
"2030","13_111_18",34.687768,-84.152194
"2031","47_9_17",35.529225,-83.880583
"2032","51_197_33",36.988302,-80.867805
"2033","51_17_29",38.252525,-79.794771
"2034","51_17_8",37.999507,-79.766619
"2035","51_17_17",37.927369,-79.730542
"2036","51_17_59",38.058148,-79.738637
"2037","51_17_11",38.103109,-79.543247
"2038","51_17_55",38.058532,-79.739854
"2039","51_15_42",38.388792,-79.217597
"2040","51_165_32",38.638789,-78.962972
"2041","51_17_19",37.910749,-79.640773
"2042","51_23_26",37.525574,-79.573308
"2043","51_169_29",36.827407,-82.59921
"2044","51_15_33",38.162247,-79.435624
"2045","51_15_73",38.307089,-79.326926
"2046","51_15_61",38.210739,-79.268821
"2047","51_15_99",37.988687,-79.073863
"2048","51_15_87",38.327897,-79.27436
"2049","51_15_28",38.431807,-79.166193
"2050","51_17_31",38.068431,-79.744836
"2051","51_17_7",38.03427,-79.520239
"2052","51_5_41",37.84544,-79.930836
"2053","51_5_46",37.817338,-79.843472
"2054","51_5_59",37.723882,-79.908343
"2055","51_9_18",37.648361,-79.329097
"2056","51_195_1",36.906972,-82.562684
"2057","51_23_65",37.535508,-79.592851
"2058","51_163_63",37.665103,-79.413177
"2059","51_9_47",37.651916,-79.291226
"2060","51_9_36",37.742734,-79.199564
"2061","51_21_20",37.127949,-81.26018
"2062","51_21_38",37.110282,-81.181076
"2063","51_23_45",37.774776,-79.814374
"2064","51_121_33",37.261734,-80.533269
"2065","51_21_41",37.056695,-81.338334
"2066","51_5_10",37.904614,-79.930108
"2067","51_163_41",37.574815,-79.491546
"2068","51_15_89",38.057432,-79.432702
"2069","51_15_18",38.35893,-79.138744
"2070","51_17_42",38.148264,-79.85621
"2071","51_17_51",38.096782,-79.810439
"2072","51_15_109",38.309265,-79.226942
"2073","51_15_50",38.385568,-79.306937
"2074","51_113_2",38.45515,-78.3765
"2075","51_187_20",38.86274,-78.332576
"2076","51_187_3",38.801873,-78.195443
"2077","51_191_15",36.646162,-81.724267
"2078","51_191_55",36.665744,-81.694609
"2079","51_77_49",36.64664,-81.562797
"2080","51_197_6",36.985253,-81.294141
"2081","51_17_44",38.020257,-79.73585
"2082","51_21_26",37.03441,-81.450769
"2083","51_185_47",37.065001,-81.41779
"2084","51_9_39",37.621135,-79.393535
"2085","51_17_14",38.16962,-79.829665
"2086","51_45_3",37.420461,-80.452237
"2087","51_45_17",37.582422,-80.086997
"2088","51_3_53",38.265806,-78.664843
"2089","51_5_36",37.646423,-80.186829
"2090","51_5_21",37.705664,-80.095616
"2091","51_171_40",38.919087,-78.73239
"2092","51_173_49",36.99761,-81.512703
"2093","51_173_28",36.778435,-81.343353
"2094","51_17_54",37.927345,-79.89756
"2095","51_69_22",39.056922,-78.468282
"2096","51_45_14",37.414738,-80.466194
"2097","51_45_31",37.516157,-80.288846
"2098","51_45_24",37.414503,-80.142715
"2099","51_45_5",37.620985,-80.076175
"2100","51_45_25",37.518062,-80.223602
"2101","51_157_5",38.784692,-78.175601
"2102","51_163_22",37.997844,-79.524052
"2103","51_45_22",37.449246,-80.376911
"2104","51_45_19",37.465929,-80.271287
"2105","51_45_7",37.5796,-80.186955
"2106","51_45_10",37.539142,-80.133356
"2107","51_15_215",38.184995,-79.360101
"2108","51_9_104",37.569847,-79.357674
"2109","51_23_92",37.503592,-79.564215
"2110","51_15_219",38.121574,-79.410809
"2111","51_163_114",37.883302,-79.20897
"2112","51_71_67",37.390487,-80.680585
"2113","51_17_90",37.906124,-79.768509
"2114","51_113_32",38.538413,-78.324171
"2115","51_17_145",38.195203,-79.856173
"2116","51_17_148",38.129337,-79.895636
"2117","51_17_127",37.964396,-79.646433
"2118","51_17_110",38.117697,-79.731393
"2119","51_15_162",37.943674,-79.015024
"2120","51_45_54",37.510862,-80.03868
"2121","51_71_81",37.308875,-80.768389
"2122","51_71_83",37.227436,-80.81999
"2123","51_169_96",36.872052,-82.568775
"2124","51_5_71",37.772373,-80.17611
"2125","51_5_77",37.808527,-79.71732
"2126","51_15_190",38.4003,-79.259403
"2127","51_45_69",37.447388,-80.065213
"2128","51_45_95",37.376596,-80.431985
"2129","51_21_76",37.088657,-81.198143
"2130","51_155_25",37.032019,-80.891663
"2131","51_45_16",37.400823,-80.156338
"2132","51_51_38",37.199602,-82.543807
"2133","51_17_52",37.945827,-79.792386
"2134","51_21_40",37.144743,-81.174171
"2135","51_21_3",37.165072,-81.094693
"2136","51_17_3",38.098929,-79.654359
"2137","51_17_77",38.185606,-79.673125
"2138","51_19_82",37.320852,-79.522225
"2139","51_19_57",37.517137,-79.501375
"2140","51_21_29",37.175601,-81.262683
"2141","51_15_8",38.186183,-79.305496
"2142","51_15_93",37.971127,-79.102614
"2143","51_15_97",38.41186,-79.206081
"2144","51_15_16",38.131127,-78.797566
"2145","51_17_60",37.98594,-79.973126
"2146","51_17_21",38.013698,-79.822584
"2147","51_21_31",37.039215,-81.071161
"2148","51_157_11",38.709008,-78.321444
"2149","51_163_57",37.578265,-79.480519
"2150","51_163_45",37.682114,-79.382204
"2151","51_171_2",38.959679,-78.52952
"2152","51_71_29",37.235652,-80.911824
"2153","51_121_20",37.258989,-80.528637
"2154","51_91_4",38.232566,-79.433344
"2155","51_79_19",38.293875,-78.625222
"2156","51_191_75",36.62268,-81.854579
"2157","51_165_80",38.582082,-79.065186
"2158","51_191_22",36.637809,-81.717437
"2159","51_197_68",36.996008,-81.223369
"2160","51_165_129",38.756363,-78.878267
"2161","51_91_66",38.248187,-79.474736
"2162","51_5_69",37.8732,-79.826476
"2163","51_155_39",37.056319,-80.868115
"2164","51_5_117",37.837183,-79.695731
"2165","51_17_73",38.071133,-79.598889
"2166","51_21_51",37.187088,-81.163405
"2167","51_23_71",37.633002,-79.88572
"2168","51_15_115",38.222702,-79.368297
"2169","51_45_50",37.58165,-80.136703
"2170","51_23_87",37.534303,-79.968836
"2171","51_21_81",37.010474,-81.386474
"2172","51_173_91",36.781095,-81.508153
"2173","51_173_94",36.7108,-81.543306
"2174","51_23_75",37.459994,-79.743839
"2175","51_187_31",38.802124,-78.301547
"2176","51_155_59",37.105183,-80.866636
"2177","51_91_68",38.562759,-79.638168
"2178","51_21_10",37.147847,-81.302555
"2179","51_77_82",36.779141,-81.042669
"2180","51_165_170",38.55382,-79.029061
"2181","51_9_97",37.714645,-79.300548
"2182","51_9_98",37.652699,-79.320844
"2183","51_91_88",38.198589,-79.533797
"2184","51_17_131",37.894334,-79.687159
"2185","51_17_144",37.900104,-79.850706
"2186","51_5_101",37.899968,-80.103407
"2187","51_45_78",37.511527,-80.19556
"2188","51_77_90",36.641349,-81.564656
"2189","51_125_86",37.869766,-79.064186
"2190","51_15_194",38.332826,-79.297791
"2191","51_155_72",37.090848,-80.893052
"2192","51_169_31",36.811256,-82.678054
"2193","51_17_45",37.929355,-79.664169
"2194","51_139_53",38.571691,-78.424866
"2195","51_121_46",37.32828,-80.365738
"2196","51_5_47",37.947022,-80.044884
"2197","51_163_93",37.60681,-79.511676
"2198","51_157_49",38.657029,-78.2721
"2199","51_5_62",37.729742,-80.060472
"2200","51_21_47",37.209493,-81.060541
"2201","51_91_62",38.303324,-79.805523
"2202","51_165_149",38.649423,-79.062604
"2203","51_165_79",38.569908,-78.942172
"2204","51_171_82",39.008484,-78.556978
"2205","51_171_81",38.862999,-78.790414
"2206","51_171_29",38.780038,-78.525643
"2207","51_157_24",38.605625,-78.277547
"2208","51_17_75",37.921091,-79.842845
"2209","51_17_74",38.165484,-79.887011
"2210","51_71_50",37.27204,-80.851203
"2211","51_163_9",37.755177,-79.329851
"2212","51_165_77",38.690666,-79.036057
"2213","51_169_64",36.847425,-82.641763
"2214","51_173_65",36.900487,-81.51105
"2215","51_15_153",37.952581,-78.94164
"2216","51_17_40",38.144644,-79.456878
"2217","51_5_57",37.935126,-80.005246
"2218","51_5_56",37.915143,-80.10381
"2219","51_125_37",37.853834,-78.983582
"2220","51_173_6",36.810344,-81.407435
"2221","51_45_41",37.566369,-80.085987
"2222","51_45_39",37.487082,-80.119622
"2223","51_15_26",38.125934,-79.411716
"2224","51_5_58",37.867828,-80.091585
"2225","51_5_55",37.698898,-79.951608
"2226","51_17_35",38.061357,-79.740921
"2227","51_21_17",37.076894,-81.045974
"2228","51_165_18",38.606054,-79.117245
"2229","51_165_57",38.478212,-79.169325
"2230","51_45_51",37.432682,-80.206588
"2231","51_113_20",38.572016,-78.335614
"2232","51_9_63",37.631108,-79.313856
"2233","51_165_90",38.415001,-78.646955
"2234","51_23_41",37.64357,-80.011817
"2235","51_23_28",37.466163,-79.598245
"2236","51_71_30",37.309599,-80.758545
"2237","51_71_43",37.446515,-80.538368
"2238","51_15_65",37.992959,-78.930311
"2239","51_15_155",38.342558,-79.228219
"2240","51_15_55",38.099142,-79.351516
"2241","51_165_150",38.476545,-78.67103
"2242","51_125_63",37.833868,-79.121702
"2243","51_77_25",36.667529,-81.459397
"2244","51_139_37",38.72608,-78.4996
"2245","51_139_38",38.504013,-78.462257
"2246","51_165_13",38.447109,-79.156727
"2247","51_165_104",38.421834,-78.498961
"2248","51_105_66",36.829756,-82.905272
"2249","51_121_26",37.255116,-80.476207
"2250","51_9_57",37.761737,-79.173101
"2251","51_9_4",37.683285,-79.31046
"2252","51_15_133",38.402028,-79.241156
"2253","51_19_108",37.480057,-79.528411
"2254","51_17_69",38.017223,-79.698169
"2255","51_165_140",38.549263,-79.158844
"2256","51_139_50",38.600438,-78.638002
"2257","51_5_13",37.855704,-79.885668
"2258","51_15_148",38.172826,-79.357932
"2259","51_17_15",38.084988,-79.710729
"2260","51_9_21",37.756715,-79.09777
"2261","51_173_30",36.789271,-81.5158
"2262","51_15_91",38.096136,-79.374403
"2263","51_17_20",38.128129,-79.847689
"2264","51_23_36",37.50399,-79.638905
"2265","51_71_60",37.368479,-80.711949
"2266","51_51_59",37.274254,-82.322668
"2267","51_173_35",36.71562,-81.494402
"2268","51_197_78",37.024317,-81.168845
"2269","51_155_14",37.080445,-80.816756
"2270","51_169_73",36.754991,-82.782081
"2271","51_51_45",37.228715,-82.470392
"2272","51_5_50",37.693941,-80.21425
"2273","51_9_24",37.777601,-79.173043
"2274","51_197_92",37.009006,-81.233929
"2275","51_191_114",36.637952,-81.743559
"2276","51_197_96",36.770985,-81.178657
"2277","51_195_2",36.93613,-82.594344
"2278","51_105_74",36.859963,-82.856154
"2279","51_17_86",37.875059,-79.669504
"2280","51_91_60",38.386242,-79.346591
"2281","51_105_37",36.77011,-82.844355
"2282","51_15_158",38.143934,-79.306462
"2283","51_21_34",37.04199,-81.117289
"2284","51_191_109",36.636509,-81.66094
"2285","51_69_67",39.053983,-78.522128
"2286","51_15_177",37.963521,-79.06425
"2287","51_9_92",37.793758,-79.147606
"2288","51_9_94",37.733811,-79.185638
"2289","51_15_213",38.279073,-79.396923
"2290","51_165_175",38.578166,-79.068009
"2291","51_15_171",38.351156,-79.20583
"2292","51_163_123",37.652773,-79.383201
"2293","51_91_74",38.363163,-79.339418
"2294","51_15_205",38.210219,-79.260831
"2295","51_23_101",37.608967,-79.891707
"2296","51_91_83",38.523503,-79.612876
"2297","51_15_156",38.278315,-79.278865
"2298","51_23_85",37.753309,-79.699569
"2299","51_5_18",37.809006,-79.663216
"2300","51_163_109",37.899346,-79.619784
"2301","51_71_66",37.394689,-80.524212
"2302","51_71_42",37.41716,-80.629149
"2303","51_121_75",37.30852,-80.39307
"2304","51_165_17",38.520989,-79.088709
"2305","51_197_79",37.014109,-81.013486
"2306","51_45_11",37.496176,-80.019831
"2307","51_45_52",37.385216,-80.194624
"2308","51_187_50",38.836031,-78.37097
"2309","51_171_100",38.931037,-78.671641
"2310","51_165_159",38.711702,-78.942251
"2311","51_165_165",38.633799,-78.985777
"2312","51_5_82",37.823216,-79.885294
"2313","51_45_89",37.429582,-80.325182
"2314","51_17_108",38.123392,-79.57917
"2315","51_71_76",37.37579,-80.573093
"2316","51_21_68",37.167856,-81.170175
"2317","51_169_102",36.806449,-82.76209
"2318","51_5_108",37.759704,-80.08761
"2319","51_91_71",38.442909,-79.670836
"2320","51_17_18",37.971063,-79.76433
"2321","51_17_38",37.951566,-79.784095
"2322","51_165_151",38.724671,-79.032936
"2323","51_91_1",38.280303,-79.436389
