aet,def,pdsi,pet,pr,ro,soil,srad,swe,tmmn,tmmx,vap,vpd,vs,LAT,LON,plot_ID,system:index
380.0,0.1101511879049676,151.35714285714286,517.8333333333333,34.0,2.0,447.85,1477.8,0.0,-13.555555555555555,115.16666666666666,608.5,34.0,396.3333333333333,48.0293,-95.2176,26,25
400.3666666666667,0.05458089668615984,140.44444444444446,486.625,45.0,2.0,889.8421052631579,1483.1,0.0,-9.5,115.5,603.2,34.0,322.5833333333333,47.66961,-94.5788,27,26
484.3333333333333,0.13279678068410464,106.0,570.25,49.5,3.0,947.25,1529.0,0.0,3.625,132.6,630.9444444444445,41.0,324.53846153846155,46.69471,-94.1921,28,27
476.8,0.16346153846153846,91.0,552.0,51.0,3.0,1186.375,1514.8333333333333,0.0,-0.33333333333333337,127.70833333333334,627.6666666666666,40.0,300.3333333333333,46.72953,-93.8126,29,28
524.0,0.1532258064516129,91.42857142857143,605.75,54.0,3.0,875.6666666666666,1559.25,0.0,10.333333333333334,140.71428571428572,661.375,45.0,312.53846153846155,45.98866,-93.1798,30,29
476.8,0.16346153846153846,91.0,552.0,51.0,3.0,1186.375,1514.8333333333333,0.0,-0.33333333333333337,127.70833333333334,627.6666666666666,40.0,300.3333333333333,46.39871,-93.932,31,30
539.75,0.11255411255411256,122.66666666666667,703.0,53.5,3.0,504.85714285714283,1597.0,0.0,22.555555555555557,149.4857142857143,728.1428571428571,47.0,401.4318181818182,44.23417,-93.9607,32,31
400.3666666666667,0.05458089668615984,140.44444444444446,486.625,45.0,2.0,889.8421052631579,1483.1,0.0,-9.5,115.5,603.2,34.0,322.5833333333333,47.81385,-94.8772,33,32
380.5,0.16984732824427481,133.0,458.6,42.0,3.0,671.8333333333333,1463.9,0.0,-11.25,111.0,598.4285714285714,31.5,330.0,48.05894,-94.8374,34,33
400.3666666666667,0.05458089668615984,140.44444444444446,486.625,45.0,2.0,889.8421052631579,1483.1,0.0,-9.5,115.5,603.2,34.0,322.5833333333333,47.84984,-94.192,35,34
563.5,0.13654618473895583,140.07692307692307,678.375,59.0,4.0,816.0,1592.0,0.0,20.8,150.66666666666666,727.5,47.0,350.6,44.27752,-92.2166,36,35
563.5,0.13654618473895583,140.07692307692307,678.375,59.0,4.0,816.0,1592.0,0.0,20.8,150.66666666666666,727.5,47.0,350.6,44.10031,-92.6449,37,36
539.75,0.11255411255411256,122.66666666666667,703.0,53.5,3.0,504.85714285714283,1597.0,0.0,22.555555555555557,149.4857142857143,728.1428571428571,47.0,401.4318181818182,44.31518,-93.5789,38,37
367.32142857142856,0.032423208191126277,91.1,402.0,54.0,2.5384615384615383,706.0,1434.4117647058824,0.024630541871921183,-12.5,96.66666666666667,554.6666666666666,31.0,301.66013071895424,47.12356,-91.6448,39,38
500.0,0.12025316455696203,107.0,632.5,51.0,3.0,618.1428571428571,1559.0,0.0,13.6875,140.2,662.3636363636364,45.0,346.46666666666664,45.68598,-94.1591,40,39
400.3666666666667,0.05458089668615984,140.44444444444446,486.625,45.0,2.0,889.8421052631579,1483.1,0.0,-9.5,115.5,603.2,34.0,322.5833333333333,47.04644,-94.8741,41,40
458.0,0.09846827133479212,123.42857142857143,627.0,44.0,2.0,522.8181818181819,1543.8,0.0,6.555555555555555,128.28571428571428,642.6666666666666,40.0,424.4375,46.00065,-95.3409,42,41
