,plot_ID,LON,LAT
60,37_173_27,-83.18833775437638,35.53404016498509

61,37_121_18,-82.16715822139273,36.141896168895514

62,37_21_33,-82.4042031051161,35.71902049326572

63,37_75_22,-83.78466575124915,35.38452255264299

64,37_113_32,-83.70759721838016,35.17994451025677

65,37_39_44,-84.12885386633782,35.0944755078894

66,37_75_26,-83.980939911726,35.415413391278214

67,37_39_12,-84.06171957175042,35.2525218240566

68,37_87_49,-82.92685966832354,35.325963732153916

69,37_99_55,-83.04606628396327,35.37084723741423

70,37_23_52,-81.73823129241983,35.90649834838564

71,37_87_70,-82.92146447999531,35.36006034660813

72,37_111_30,-82.1357082082131,35.67469163099006

73,37_199_26,-82.22241414195268,35.75881764468844

74,37_87_65,-83.19238619022559,35.65746207061675

75,37_175_10,-82.7223466614791,35.34166636934002

76,37_27_7,-81.7178360325343,35.97402560340862

77,37_113_10,-83.55985668721733,35.26182583167851

78,37_111_39,-82.07404850325852,35.80274775838015

79,37_75_46,-83.83259595221026,35.344240184636554

80,37_75_48,-83.63292927937191,35.34233238870805

81,37_113_63,-83.52568339632228,35.14110292697234

82,37_75_37,-83.77614840916969,35.44154043817619

83,37_75_32,-83.69044357804813,35.43146736777757

84,37_113_41,-83.52151679738616,35.07749558645567

85,37_113_61,-83.61301732414303,35.143621167592094

86,37_43_1,-83.67745379407059,35.03524090183829

87,37_173_82,-83.626601648197,35.56303419805416

88,37_115_32,-82.94213169780122,35.759079812634525

89,37_87_42,-83.13878244567763,35.76178368379306

90,37_113_79,-83.45922278837868,35.04647287601604

91,39_127_4165,-82.1534550877307,39.572799041788784

92,39_87_1472,-82.60999110369879,38.65794109392842

93,39_87_8383,-82.60533449631194,38.71382056660996

94,39_87_12789,-82.56065045529877,38.64138561483507

95,39_73_12472,-82.23716025744328,39.547743780385375

96,39_167_14073,-81.18187252398188,39.460041098026885

97,39_111_13152,-81.11085483687562,39.60881194541497

98,39_167_14052,-81.33924209766315,39.47548611709959

99,39_73_47,-82.26645723250209,39.56497201171272

100,39_111_4162,-81.17819259349137,39.6086078037551

101,39_53_8375,-82.54003797462036,38.84487185310239

102,39_53_5288,-82.44042192720562,38.81400937143046

103,39_87_4550,-82.64424819620027,38.82318933949802

104,39_87_1217,-82.53930821578575,38.76656285734579

105,39_145_4036,-82.6917965192096,38.75250901212329

106,39_87_2686,-82.68467669236931,38.691054888480075

107,39_87_266,-82.75060496776919,38.670627761421585

108,39_53_612,-82.53275139552437,38.800027654947634

109,39_87_638,-82.58199706489529,38.637137772099535

110,39_87_595,-82.56919690546036,38.745600974388445

111,39_127_629,-82.15786916598967,39.5637684703321

112,39_87_192,-82.41761260055766,38.645579418415444

113,39_111_7156,-80.95794697815086,39.62581620480633

114,39_87_11220,-82.6105513615826,38.582505625445236

115,39_9_8312,-82.24797042384907,39.41908220305487

116,39_73_409,-82.20180652691107,39.481281734812185

117,39_87_12775,-82.64009415066184,38.66234186791941

118,39_9_11689,-82.13080855556977,39.44749268174297

119,39_87_15693,-82.59901056272969,38.74312092712293

120,39_87_12778,-82.49526257311707,38.6520745134957

121,39_87_12785,-82.51179922308879,38.6050707817245

122,39_167_14071,-81.10585687222144,39.49048019603045

123,39_111_15730,-81.22833601198744,39.5858647801089

124,39_127_2815,-82.29337782195685,39.60204579848346

125,39_111_511,-81.08248929421535,39.62179039730143

126,39_87_4677,-82.587792671185,38.623034567677564

127,39_73_3185,-82.24443028386243,39.48180591052929

128,39_127_1162,-82.04718578088685,39.61874010333153

129,39_111_3424,-81.15444531982833,39.659036129222265

130,39_87_2263,-82.5613749047268,38.76409744107062

131,39_167_3191,-81.16102624984924,39.48707873305782

132,39_87_8391,-82.71723649799642,38.646045651481444

133,39_87_8054,-82.56794666447453,38.58482167687224

134,39_127_8297,-82.24420168004099,39.62602046109069

135,39_87_8394,-82.7541038382378,38.57635936252996

136,39_73_8306,-82.25606113096033,39.560315313473865

137,39_167_14076,-81.25583537106613,39.396216963323994

138,39_127_13404,-82.20325574778511,39.57785603299708

139,39_87_12792,-82.62260396846271,38.592264632845136

140,39_9_11693,-82.2178556798692,39.41577483022621

141,39_53_2780,-82.42112357792315,38.70769210631374

142,39_87_2049,-82.52073522689007,38.72811352569021

143,39_145_3125,-82.77262818499193,38.71300657532778

144,39_121_5629,-81.29672141132814,39.599207773158646

145,39_87_614,-82.54323422095669,38.63224252304773

146,39_87_571,-82.63541799108779,38.703942091576984

147,39_167_3819,-81.18896649150517,39.43061345300777

148,39_53_361,-82.47117601577274,38.77940088390476

149,39_111_2349,-81.14384789790476,39.6412806599909

